uid,half_width,asymmetry,latency,rise,organoid,n_spikes,fr,ISI.median,age
TC028_3B,0.23786699061824498,0.2446684680889244,1.8333333333333333,0.0618191630454452,TSCp5_32s,1200,0.64925321,0.08146667,3.8227959104938267
TC028_5C,0.289433173474517,-0.049948118791928675,1.1333333333333333,0.1959286761283458,TSCp5_32s,1705,0.92248061,0.0812,3.8227959104938267
TC028_15C,0.3812277292873607,-0.06542099757753733,1.8,0.481935642477048,TSCp5_32s,1009,0.54591374,0.05708333,3.8227959104938267
TC028_9C,0.34392801126002887,-0.061991677228137754,1.7333333333333334,0.37450813612230505,TSCp5_32s,763,0.41281684,0.04125,3.8227959104938267
TC028_11D,0.3105843757347479,-0.053317311835349095,1.8,0.2292155616886987,TSCp5_32s,743,0.40199595,0.18685,3.8227959104938267
TC021_6C,0.42278093411261275,-0.007735938066563128,1.5333333333333332,0.4720609023230978,TSCp5_30s,4310,3.53265716,0.02783333,8.691890432098766
TC008_389A,0.13828959941789118,0.3384771437802466,0.8333333333333334,0.05747787194558877,TSCp5_32s,4695,1.05662115,0.068,3.7558449074074076
TC008_32A,0.304898433455868,0.05902805674371658,1.1,0.1847839230301029,TSCp5_32s,790,0.17779142,0.4519,3.7558449074074076
TC008_390A,0.3942631195449586,-0.024419571893868376,1.8,0.23121839179919565,TSCp5_32s,4339,0.97650249,0.08641667,3.7558449074074076
TC008_61A,0.10314865348031266,0.6144939783403176,0.7,0.0450459170183206,TSCp5_32s,842,0.18949414,0.14976667,3.7558449074074076
TC008_74B,0.21906584883733374,0.4245331520290759,1.9,0.07499326529978727,TSCp5_32s,1370,0.30832183,0.04873333,3.7558449074074076
TC008_75B,0.2996294117992207,-0.03418485194864329,1.3333333333333333,0.21367598900769616,TSCp5_32s,471,0.10599969,1.26625,3.7558449074074076
TC008_90B,0.27443206498795025,-0.008418759703889226,1.9333333333333333,0.15174106316371644,TSCp5_32s,5086,1.14461665,0.0486,3.7558449074074076
TC008_215D,0.383584333977426,-0.1950929675369789,1.2666666666666666,0.2403368998696185,TSCp5_32s,2025,0.45573117,0.07045,3.7558449074074076
TC008_319F,0.3693532429524723,-0.11510017556265538,1.1333333333333333,0.4974555371607896,TSCp5_32s,777,0.17486574,0.1591,3.7558449074074076
TC008_330F,0.12798254781208768,0.47099452190860314,0.43333333333333335,0.04068565820463471,TSCp5_32s,1037,0.23337937,0.10806667,3.7558449074074076
TC008_335G,0.3235249803035316,-0.0350628966200099,1.9666666666666666,0.16411609623315754,TSCp5_32s,339,0.07629277,0.16143333,3.7558449074074076
TC008_336G,0.16442827480103805,0.19114651742714106,0.6,0.07116530057023596,TSCp5_32s,593,0.13345609,0.08045,3.7558449074074076
TC008_340G,0.20755091724943567,0.5070887002951128,0.7,0.04545347667097275,TSCp5_32s,1379,0.3103473,0.0732,3.7558449074074076
TC033_20B,0.22847975086213168,0.15030205976684083,0.5,0.0863172845196587,TSCp5_30s,5041,5.33656908,0.0105,6.388572916666666
TC033_23B,0.3329435033951846,0.4631986225977011,1.3,0.10034894355240856,TSCp5_30s,394,0.41710141,0.04636667,6.388572916666666
TC033_21B,0.31534453328663475,0.07829973857949729,0.9333333333333333,0.12672354111803089,TSCp5_30s,166,0.17573308,0.03186667,6.388572916666666
TC033_104C,0.3093393972748061,0.10984252824418628,1.2666666666666666,0.1523962640264088,TSCp5_30s,173,0.18314351,0.09331667,6.388572916666666
TC033_44C,0.23849519892131307,0.9539506347871374,0.36666666666666664,0.06490046348553259,TSCp5_30s,4344,4.59870186,0.0137,6.388572916666666
TC033_45C,0.29490681145878855,0.009594521716227877,0.9666666666666667,0.12347907244391838,TSCp5_30s,37,0.03916942,18.53991667,6.388572916666666
TC033_107C,0.23411171836577319,0.9238121302709416,0.43333333333333335,0.06589307203004727,TSCp5_30s,425,0.44991904,0.05518333,6.388572916666666
TC033_54C,0.281111769711197,-0.026818997652906296,0.4666666666666667,0.17454220731998144,TSCp5_30s,68,0.07198705,0.72446667,6.388572916666666
TC033_57C,0.2846199558796319,0.41057201543632516,1.4333333333333333,0.08621835379974835,TSCp5_30s,63,0.06669388,16.7386,6.388572916666666
TC033_58C,0.34229105609963073,-0.004570276794712558,1.1666666666666667,0.24929834585564095,TSCp5_30s,34,0.03599352,22.20343333,6.388572916666666
TC033_61D,0.4100618709571594,0.3799540683742011,1.0666666666666667,0.16367448226217385,TSCp5_30s,2186,2.31417179,0.0111,6.388572916666666
TC033_69D,0.3938109543413918,0.06611853510977911,1.3666666666666667,0.24367675923340545,TSCp5_30s,93,0.09845287,0.43665,6.388572916666666
TC033_77E,0.3363266180471849,0.08426301555104798,0.6333333333333333,0.25112111659412123,TSCp5_30s,125,0.13232913,0.20236667,6.388572916666666
TC033_83E,0.3179845666867564,0.07211408460664859,0.7333333333333333,0.18744079092157928,TSCp5_30s,1003,1.06180892,0.01748333,6.388572916666666
TC033_105E,0.3341306812190235,0.24745824809941078,1.6,0.1953889657370882,TSCp5_30s,55,0.05822482,17.21225,6.388572916666666
TC015_175A,0.34957837350028337,0.0009661749029997368,2.0,0.28556495151170885,TSCp5_32s,1478,0.85291485,0.0406,8.422952932098765
TC015_173A,0.2988064018278121,0.12456700244443382,1.0333333333333332,0.08840348119777938,TSCp5_32s,1800,1.03873257,0.0305,8.422952932098765
TC015_55B,0.38276732049953377,0.0033400720752395363,1.4666666666666666,0.20797046685255913,TSCp5_32s,141,0.08136738,0.09533333,8.422952932098765
TC015_76B,0.35940864469123096,-0.05051568225195709,1.9666666666666666,0.4598209729226698,TSCp5_32s,834,0.48127942,0.0538,8.422952932098765
TC015_121C,0.3426942595957712,-0.19158888676584765,1.3666666666666667,0.30898586714010107,TSCp5_32s,1780,1.02719109,0.01826667,8.422952932098765
TC015_172C,0.15698556997668356,-0.07132412853969707,0.9666666666666667,0.09189524072745646,TSCp5_32s,84,0.04847419,0.0146,8.422952932098765
TC015_128C,0.3437907405600157,-0.12239399416098985,1.3333333333333333,0.3441394012521956,TSCp5_32s,445,0.25679777,0.01765,8.422952932098765
TC015_136C,0.34783961487414505,-0.10237625151585003,1.2666666666666666,0.37541701863464305,TSCp5_32s,170,0.09810252,0.01623333,8.422952932098765
TC015_166D,0.6158611309602852,-0.09685682266929929,1.2,0.31886210613598653,TSCp5_32s,185,0.10675863,0.12143333,8.422952932098765
TC027_53A,0.36443018511630354,-0.09721296331883865,2.0,0.2804697460059162,TSCp5_30s,1840,2.25144092,0.19093333,3.819775077160494
TC027_2A,0.6322969907965965,0.25175733426052144,1.4333333333333333,0.3416275603592174,TSCp5_30s,657,0.80391124,0.63176667,3.819775077160494
TC027_3A,0.28571081243417307,0.03283615832354794,1.1333333333333333,0.11459966681728133,TSCp5_30s,840,1.02783173,0.6217,3.819775077160494
TC027_54A,0.24913996048832013,0.22937121159740947,1.3,0.08673508137407115,TSCp5_30s,2140,2.61852368,0.16153333,3.819775077160494
TC027_12A,0.2320500111524396,-0.11605573083499919,1.0666666666666667,0.14684390844716474,TSCp5_30s,164,0.20067191,1.81066667,3.819775077160494
TC027_58B,0.32032303124995515,-0.04091745159314335,1.7,0.1509992152308977,TSCp5_30s,3917,4.79287722,0.13051667,3.819775077160494
TC027_20B,0.30290962532050497,0.5300871819071059,0.9333333333333333,0.09069724650762201,TSCp5_30s,885,1.08289414,0.34966667,3.819775077160494
TC027_55C,0.3696554062342438,-0.08574981491251013,1.9333333333333333,0.2648612452757192,TSCp5_30s,1802,2.20494377,0.0694,3.819775077160494
TC027_48D,0.46880688071136184,-0.0173434856175973,1.9333333333333333,0.18936844650896537,TSCp5_30s,455,0.55674218,0.28473333,3.819775077160494
TC031_11A,0.22593737558283752,0.02622094295663642,0.9333333333333333,0.16545632477910388,TSCp5_30s,99,0.07585001,0.0107,6.121557870370371
TC031_33B,0.330554536408218,-0.008854764665763681,1.0,0.1881343664841168,TSCp5_30s,223,0.17085406,0.00976667,6.121557870370371
TC029_3B,0.1945775822492673,0.3112252116883454,0.5666666666666667,0.08003951515039537,TSCp5_32s,679,1.03784205,0.04763333,4.357079475308642
TC029_5C,0.0915939785321657,0.5242105437716185,0.7,0.030323644980353254,TSCp5_32s,153,0.23385837,0.23985,4.357079475308642
TC012_428A,0.10155535500257121,0.6258432556213074,0.4,0.0440635879332324,TSCp5_32s,852,0.43885241,0.0971,6.719706790123457
TC012_416A,0.11298572275720341,0.25128151916540603,0.3,0.0514599342538259,TSCp5_32s,433,0.2230318,0.32131667,6.719706790123457
TC012_46A,0.28617657340526154,-0.023079697798647845,1.9,0.13555489225631873,TSCp5_32s,269,0.13855786,2.06998333,6.719706790123457
TC012_423B,0.33736458994724833,-0.10492134419091216,1.6666666666666667,0.2070231333895047,TSCp5_32s,396,0.20397365,0.15766667,6.719706790123457
TC012_137C,0.220984915349306,-0.010693108691657124,2.0,0.17336976493731768,TSCp5_32s,1050,0.54083923,0.0587,6.719706790123457
TC012_430C,0.11238305478571532,0.6230937811870768,1.7,0.03789229123372664,TSCp5_32s,2244,1.15585071,0.01893333,6.719706790123457
TC012_154C,0.5083136303548647,0.050790335583996774,1.8,0.2032092573151457,TSCp5_32s,1369,0.70515134,0.05325,6.719706790123457
TC012_431D,0.20629192745881064,0.7008436198446408,0.4,0.06472943682923453,TSCp5_32s,1922,0.98999334,0.03446667,6.719706790123457
TC012_432D,0.449192237768631,-0.023980015853321567,1.9333333333333333,0.2156660382860127,TSCp5_32s,1314,0.67682167,0.05726667,6.719706790123457
TC012_284E,0.31614732999866724,0.3663612383257683,1.9,0.10101575328782293,TSCp5_32s,289,0.14885956,0.6093,6.719706790123457
TC012_308F,0.14206582976359647,0.2090013312987401,0.4,0.04871208080504464,TSCp5_32s,2655,1.36755063,0.0167,6.719706790123457
TC012_309F,0.11111074922187426,0.40384604941186786,0.3333333333333333,0.03901317105273184,TSCp5_32s,3003,1.54680021,0.01693333,6.719706790123457
TC012_317F,0.3346905801835852,-0.04444972341941834,1.9666666666666666,0.14467610643117107,TSCp5_32s,324,0.16688754,0.21866667,6.719706790123457
TC012_364G,0.13084141515659078,0.21487590251411573,0.3,0.05547640150062444,TSCp5_32s,2327,1.19860276,0.02905,6.719706790123457
TC018_8A,0.28730099941211074,-0.12035571675574604,1.3333333333333333,0.430368925764467,TSCp5_30s,260,0.13967393,0.0236,8.52002237654321
TC018_48B,0.3306039810985183,-0.14249507038966314,1.3333333333333333,0.23312431057380392,TSCp5_30s,1128,0.60596996,0.05463333,8.52002237654321
