uid,age,EB,duration,IBI,variation,organoid,channel
TC002,5.8856,28.01.19,0.5233,12.3274,,TSCp5_32s,
TC005,3.6862,07/31/2019,1.2825,24.9834,,TSCp5_30s,
TC006,3.6899,31.07.19,1.4785,8.0326,,TSCp5_32s,
TC008,3.7558,31.07.19,0.7251,8.2501,,TSCp5_32s,
TC009,5.651,07/31/2019,0.3898,26.8725,,TSCp5_30s,40
TC010,5.8174,31.07.19,1.4679,14.0839,,TSCp5_32s,
TC011,5.8835,07/31/2019,2.9147,62.4866,,TSCp5_30s,2
TC012,6.7197,31.07.19,0.8493,10.2036,,TSCp5_32s,
TC014,7.0205,06.08.19,0.5383,8.6233,,TSCp5_32s,
TC015,8.423,31.07.19,1.3305,15.8571,,TSCp5_32s,
TC016,8.6907,31.07.19,0.4145,27.0836,,TSCp5_32s,
TC017,8.4254,07.31.19,1.9245,35.4144,,TSCp5_30s,
TC018,8.52,07.31.19,1.2367,17.3233,,TSCp5_30s,
TC019,8.5211,31.07.19,0.5594,7.7827,,TSCp5_32s,
TC020,8.6907,31.07.19,0.8525,8.795,,TSCp5_32s,
TC021,8.6919,07.31.19,1.7447,12.4245,,TSCp5_30s,
TC022,8.6907,31.07.19,1.0381,8.9465,,TSCp5_32s,
TC023,9.0558,07.31.19,1.9345,13.6019,,TSCp5_30s,
TC025,3.7548,05.02.20,5,85.714285,,TSCp5_30s,
TC026,3.756,02.05.20,2.315,19.4778,8.2967,TSCp5_32s,26
TC028,3.8228,02.05.20,1.9109,18.6452,8.9865,TSCp5_32s,36
TC030,5.99,09.02.20,0.4526,13.0146,,TSCp5_30s,
TC031,6.1216,09.02.20,1.0042,26.4103,,TSCp5_30s,
TC032,6.1482,02.09.20,0.5699,16.5468,,TSCp5_32s,
TC033,6.3886,05.02.20,0.9097,19.5943,,TSCp5_30s,
TC034,7.1197,09.02.20,0.9002,29.1006,,TSCp5_30s,
TC035,7.1219,02.09.20,2.237,22.0177,,TSCp5_32s,31
TC038C,4.1861,26.08.20,1.1146,69.3149,,TSCp5_30s,
TC057,4.8222,19.02.21,0.4911,10.2589,,TSCp24_4,6
TC058,4.8239,19.02.21,1.7073,26.967,,TSCp24_4_R2C4,26
TC059,5.0492,19.02.21,0.4587,9.5173,,TSCp24_4,25
TC060,5.0513,19.02.21,1.1654,86.9053,,TSCp24_4_R2C4,48
TC061,5.9192,01.03.21,3.7532,197.325,,TSCp5_30s,29
TC064,6.0915,01.03.21,1.8055,36.6671,,TSCp5_32s,8
TC065,6.0945,01.03.21,1.6159,18.3459,,TSCp5_32s,27
TC066,6.1228,01.03.21,0.7451,22.3649,,TSCp24_4,63
TC067,6.1256,01.03.21,0.4551,69.639,,TSCp24_4_R2C4,53
TC068,6.2233,01.03.21,2.2134,153.6553,,TSCp5_30s,54
TC069,6.2253,01.03.21,1.9234,81.72,,TSCp24_4_R2C4,15
TC070,6.3586,01.03.21,0.7849,65.4972,96.8485,TSCp24_4,12
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
