uid,organoid
VT014_9F,DLX_Cheriff
VT014_7E,DLX_Cheriff
VT014_1A,DLX_Cheriff
VT014_16C,DLX_Cheriff
VT014_0A,DLX_Cheriff
VT013_7B,DLX_Cheriff
VT013_60C,DLX_Cheriff
VT013_49D,DLX_Cheriff
VT013_48D,DLX_Cheriff
VT013_43D,DLX_Cheriff
VT013_38C,DLX_Cheriff
VT013_29C,DLX_Cheriff
VT013_24C,DLX_Cheriff
VT013_20C,DLX_Cheriff
VT013_19C,DLX_Cheriff
VT010_4A,DLX_Cheriff
VT008_1A,DLX_Cheriff
VT008_13A,DLX_Cheriff
VT008_12A,DLX_Cheriff
VT007_80C,DLX_Cheriff
VT007_79B,DLX_Cheriff
VT007_78B,DLX_Cheriff
VT007_70D,DLX_Cheriff
VT007_56C,DLX_Cheriff
VT007_4A,DLX_Cheriff
VT007_48B,DLX_Cheriff
VT007_44B,DLX_Cheriff
VT007_29B,DLX_Cheriff
VT007_16A,DLX_Cheriff
VT006_82C,DLX_Cheriff
VT006_77D,DLX_Cheriff
VT006_39C,DLX_Cheriff
VT006_17A,DLX_Cheriff
VT006_15A,DLX_Cheriff
VT006_11A,DLX_Cheriff
VT005_9B,DLX_Cheriff
VT005_67D,DLX_Cheriff
VT005_66C,DLX_Cheriff
VT005_58D,DLX_Cheriff
VT005_53D,DLX_Cheriff
VT005_52D,DLX_Cheriff
VT005_49D,DLX_Cheriff
VT005_11B,DLX_Cheriff
VT004_80B,DLX_Cheriff
VT004_165B,DLX_Cheriff
VT003_40B,DLX_Cheriff_AS
VT003_36B,DLX_Cheriff_AS
VT003_12A,DLX_Cheriff_AS
VT002_84B,DLX_Cheriff
VT002_83A,DLX_Cheriff
VT002_82B,DLX_Cheriff
VT002_81A,DLX_Cheriff
VT002_7A,DLX_Cheriff
VT002_73D,DLX_Cheriff
VT002_72D,DLX_Cheriff
VT002_71D,DLX_Cheriff
VT002_6A,DLX_Cheriff
VT002_5A,DLX_Cheriff
VT002_51B,DLX_Cheriff
VT002_42B,DLX_Cheriff
VT002_40B,DLX_Cheriff
VT002_33B,DLX_Cheriff
VT002_15A,DLX_Cheriff
VT001_84B,DLX_Cheriff
VT001_14A,DLX_Cheriff
VT000_89D,DLX_Cheriff
VT000_71D,DLX_Cheriff
VT000_59D,DLX_Cheriff
VT000_58D,DLX_Cheriff
VT000_51D,DLX_Cheriff
VT000_42A,DLX_Cheriff
VT000_33C,DLX_Cheriff
VT000_24A,DLX_Cheriff
VT000_204A,DLX_Cheriff
VT000_202A,DLX_Cheriff
TC035_53A,TSCp5_32s
TC035_49B,TSCp5_32s
TC035_24B,TSCp5_32s
TC034_7D,TSCp5_30s
TC034_2B,TSCp5_30s
TC034_17B,TSCp5_30s
TC034_16D,TSCp5_30s
TC033_83E,TSCp5_30s
TC033_77E,TSCp5_30s
TC033_69D,TSCp5_30s
TC033_61D,TSCp5_30s
TC033_58C,TSCp5_30s
TC033_57C,TSCp5_30s
TC033_54C,TSCp5_30s
TC033_45C,TSCp5_30s
TC033_44C,TSCp5_30s
TC033_23B,TSCp5_30s
TC033_21B,TSCp5_30s
TC033_20B,TSCp5_30s
TC033_107C,TSCp5_30s
TC033_105E,TSCp5_30s
TC033_104C,TSCp5_30s
TC032_48D,TSCp5_32s
TC031_33B,TSCp5_30s
TC031_11A,TSCp5_30s
TC030_118A,TSCp5_30s
TC030_117B,TSCp5_30s
TC030_112A,TSCp5_30s
TC030_111A,TSCp5_30s
TC030_105D,TSCp5_30s
TC029_5C,TSCp5_32s
TC029_3B,TSCp5_32s
TC028_9C,TSCp5_32s
TC028_5C,TSCp5_32s
TC028_3B,TSCp5_32s
TC028_15C,TSCp5_32s
TC028_11D,TSCp5_32s
TC027_58B,TSCp5_30s
TC027_55C,TSCp5_30s
TC027_54A,TSCp5_30s
TC027_53A,TSCp5_30s
TC027_48D,TSCp5_30s
TC027_3A,TSCp5_30s
TC027_2A,TSCp5_30s
TC027_20B,TSCp5_30s
TC027_12A,TSCp5_30s
TC026_88C,TSCp5_32s
TC026_80C,TSCp5_32s
TC026_47C,TSCp5_32s
TC026_45B,TSCp5_32s
TC026_44B,TSCp5_32s
TC026_41B,TSCp5_32s
TC026_29B,TSCp5_32s
TC025_58B,TSCp5_30s
TC025_4A,TSCp5_30s
TC025_48D,TSCp5_30s
TC025_27B,TSCp5_30s
TC025_24B,TSCp5_30s
TC025_1A,TSCp5_30s
TC025_11A,TSCp5_30s
TC023_57D,TSCp5_30s
TC023_54D,TSCp5_30s
TC023_47D,TSCp5_30s
TC023_32B,TSCp5_30s
TC023_31B,TSCp5_30s
TC023_30B,TSCp5_30s
TC022_8C,TSCp5_32s
TC022_6C,TSCp5_32s
TC022_5C,TSCp5_32s
TC022_0A,TSCp5_32s
TC021_6C,TSCp5_30s
TC020_18C,TSCp5_32s
TC019_9A,TSCp5_32s
TC019_8A,TSCp5_32s
TC019_42B,TSCp5_32s
TC019_31C,TSCp5_32s
TC019_25B,TSCp5_32s
TC019_1A,TSCp5_32s
TC019_19B,TSCp5_32s
TC019_12B,TSCp5_32s
TC019_0A,TSCp5_32s
TC018_8A,TSCp5_30s
TC018_51D,TSCp5_30s
TC018_50C,TSCp5_30s
TC018_49C,TSCp5_30s
TC018_49C,TSCp5_30s
TC018_48B,TSCp5_30s
TC018_32C,TSCp5_30s
TC017_4A,TSCp5_30s
TC017_49C,TSCp5_30s
TC017_39C,TSCp5_30s
TC017_30B,TSCp5_30s
TC017_28B,TSCp5_30s
TC017_26B,TSCp5_30s
TC017_20B,TSCp5_30s
TC017_0A,TSCp5_30s
TC016_8C,TSCp5_32s
TC016_5C,TSCp5_32s
TC016_27D,TSCp5_32s
TC015_76B,TSCp5_32s
TC015_55B,TSCp5_32s
TC015_175A,TSCp5_32s
TC015_173A,TSCp5_32s
TC015_172C,TSCp5_32s
TC015_166D,TSCp5_32s
TC015_136C,TSCp5_32s
TC015_128C,TSCp5_32s
